,"Selenium, Se","Choline, total",Total Sugars,Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Vitamin A, RAE","Calcium, Ca","Potassium, K","Zinc, Zn",Niacin,Pantothenic acid,Vitamin B-6,Total lipid (fat),"Carbohydrate, by difference",Protein,Cholesterol,"Fatty acids, total saturated","Fiber, total dietary","Iron, Fe","Magnesium, Mg","Phosphorus, P","Copper, Cu","Manganese, Mn",Thiamin,Riboflavin,"Folate, total",Vitamin B-12,Vitamin D (D2 + D3),"Vitamin C, total ascorbic acid","Sodium, Na","Iodine, I",Biotin,"Molybdenum, Mo"
beef,78.0,16.22,0.0,1.0,1.33,0.0,0.92,2.89,32.45,15.19,12.52,7.65,19.1,0.0,54.2,28.67,30.9,0.0,11.56,3.33,8.88,7.11,0.61,1.67,11.31,2.25,67.5,1.0,0.0,39.0,0.0,0.0,0.0
cucumber,0.18,1.04,2.76,0.2,6.0,0.44,1.08,2.89,1.55,0.23,4.8,3.0,0.21,0.79,1.18,0.0,0.39,2.5,1.22,2.86,1.68,7.89,3.17,2.58,1.92,3.5,0.0,0.0,3.56,0.09,0.0,0.0,0.0
okra,1.27,2.24,2.96,1.8,26.08,4.0,6.31,6.36,5.27,6.25,4.9,12.65,0.24,2.71,3.86,0.0,0.13,11.43,3.44,13.57,4.88,12.11,34.26,16.67,4.62,15.0,0.0,0.0,25.56,0.3,0.0,0.0,0.0
basil,0.55,2.07,0.6,5.33,345.83,29.33,13.62,6.28,7.36,5.64,4.18,9.12,0.82,0.96,6.3,0.0,0.21,5.71,17.61,15.24,4.48,42.78,50.0,2.83,5.85,17.0,0.0,0.0,20.0,0.17,0.0,0.0,0.0
barley,68.55,0.0,1.6,3.8,1.83,0.11,2.54,9.62,25.18,28.75,5.64,18.71,2.95,26.73,25.0,0.0,2.41,61.79,20.0,31.67,21.12,55.33,84.35,53.83,21.92,4.75,0.0,0.0,0.0,0.52,0.0,0.0,0.0
cream cheese,0.0,0.0,0.0,0.0,2.0,0.0,7.47,2.66,5.35,0.58,0.0,2.31,42.95,1.66,11.58,33.67,98.5,0.0,0.0,2.12,8.64,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,16.0,23.27,5.8,0.0
cranberry sauce,0.0,0.0,62.6,0.0,0.0,0.22,0.23,0.45,0.18,0.0,0.0,0.0,0.06,14.69,1.5,0.0,0.03,4.29,1.11,0.48,0.32,1.89,2.61,0.0,0.0,0.0,0.0,0.0,1.11,0.22,0.0,0.0,0.0
bacon,13.45,8.18,0.0,46.0,0.0,0.44,1.77,3.62,3.82,47.25,2.26,28.18,37.82,1.93,23.4,0.0,23.1,9.29,13.39,4.52,5.6,11.67,8.91,366.67,37.0,10.5,0.0,0.0,0.0,63.48,0.0,0.0,0.0
cranberry,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.5,0.0,0.0,0.64,4.44,0.8,0.0,0.0,0.0,2.22,0.0,1.68,0.0,0.0,1.67,6.15,0.0,0.0,0.0,23.33,0.0,0.0,0.0,0.0
couscous,50.0,0.6,0.2,0.87,0.08,0.0,0.62,1.23,2.36,6.14,7.42,3.0,0.21,8.44,7.58,0.0,0.15,5.0,2.11,1.9,1.76,4.56,3.65,5.25,2.08,3.75,0.0,0.0,0.0,0.22,0.0,0.0,0.0
