Make,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,8594.5864661654,0.0,0.0,6500.0,3000.0,0.0
Ford,65589.1729323308,390183.7593984962,145383.7593984962,67100.0,112389.1729323308,140683.7593984962,93994.5864661654,91494.5864661654,92094.5864661654,79094.5864661654,92694.5864661654,172689.1729323308,168483.7593984962,151994.5864661654,249494.5864661654,163389.1729323308,78000.0,39589.172932330795,100978.34586466159,161689.1729323308,132683.7593984962,72100.0,126394.5864661654,103294.5864661654,129400.0,155294.5864661654,127783.7593984962,133694.5864661654,246400.0,306189.1729323308,106789.1729323308,105783.7593984962,136900.0,149194.5864661654,114394.5864661654,240200.0,161094.5864661654,307000.0,274989.1729323308,73400.0,0.0
Lexus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0
Mercedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0
Skoda,1900.0,0.0,6900.0,11594.5864661654,0.0,10294.5864661654,600.0,5200.0,4000.0,91400.0,9500.0,8500.0,25394.586466165398,6000.0,17689.1729323308,0.0,0.0,0.0,0.0,0.0,4000.0,5400.0,0.0,0.0,3500.0,1000.0,0.0,6900.0,64500.0,0.0,4100.0,500.0,500.0,16394.586466165398,3300.0,46394.5864661654,300.0,16794.586466165398,163300.0,9500.0,0.0
Tesla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
Toyota,12000.0,8594.5864661654,6400.0,7200.0,0.0,0.0,0.0,39500.0,0.0,26400.0,7600.0,46300.0,7500.0,4200.0,0.0,7500.0,15400.0,0.0,12300.0,47400.0,6500.0,19800.0,22400.0,500.0,12700.0,0.0,3400.0,7900.0,0.0,0.0,24000.0,8594.5864661654,8594.5864661654,19800.0,0.0,0.0,7200.0,16100.0,43300.0,18100.0,0.0
Volkswagen,30900.0,1600.0,0.0,11794.5864661654,10300.0,34800.0,22400.0,30900.0,0.0,5800.0,51994.5864661654,4600.0,25400.0,1000.0,8000.0,19000.0,31300.0,8100.0,19700.0,2300.0,168000.0,0.0,0.0,21894.586466165398,8794.5864661654,24800.0,500.0,9300.0,10600.0,46000.0,10400.0,300.0,0.0,0.0,1300.0,3400.0,2100.0,0.0,0.0,0.0,0.0
Volvo,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,0.0
